آئین	311	N
آب	549005877	N,AJ
آبا	404003	N
آباجی	0	N
آباد	2320127	N,AJ
آبادسازی	3	N
آباده	132038	N
آبادکننده	0	AJ
آبادگر	127007	N,AJ
آبادی‌نشین	277	N
آبان	8870356	N
آباژور	173005	N
آباژورساز	5	N
آباژورسازی	0	N
آبتنی	3	N
آبتین	32102	N
آبجو	26	N
آبجوسازی	0	N
آبجی	0	N
آبخازستان	2	N
آبخازیا	5	N
آبخوان	9424	N
آبخور	25703	N
آبخوری	4	N
آبخیز	52222	N,AJ
آبخیزداری	57286	N
آبخیزگاه	9	N
آبدار	119018	N,AJ
آبدارخانه	15533	N
آبدارچی	35611	N
آبدزدک	0	N
آبدیده	218007	N,AJ
آبدیدگی	0	N
آبراه	21434	N
آبراهام	4	N
آبراهه	57103	N
آبرفت	45116	N
آبرنگ	93615	N,AJ
آبرو	411142	N,AJ
آبروبری	0	N
آبرودار	2	N
آبروداری	168000	N
آبروریزی	23	N
آبرومند	35933	N,AJ,ADV
آبرومندانه	17	N,AJ,ADV
آبریز	87441	N
آبریزگاه	6663	N
آبزی	96542	N,AJ
آبزی‌پروری	7	N
آبسال	9	N
آبستراکسیون	3	N
آبستره	13	N,AJ
آبستن	80817	N,AJ
آبستنی	30204	N
آبسه	21	N
آبسکون	8092	N
آبشار	10100076	N
آبشامه	0	N
آبشخور	24615	N
آبعلی	9	N
آبله	107040	N
آبله‌دار	0	N
آبله‌رو	0	N,AJ
آبله‌مرغان	63307	N
آبله‌کوبی	0	N
آبله‌گون	0	N
آبنوس	160004	N
آبونمان	73909	N
آبپاش	7	N,AJ
آبکار	4	N
آبکاری	83507	N
آبکش	35005	N
آبکی	42021	N,AJ
آبگرم	39	N
آبگوشت	139013	N,AJ
آبگوشت‌خور	71	N
آبگوشت‌خوری	333	N
آبگون	36501	N,AJ
آبگیر	28835	N
آبگینه	28020	N
آبیاری	331224	N
آبی‌پوش	13	N,AJ
آب‌انبار	150851	N
آب‌اکسیژنه	2	N
آب‌باریکه	0	N
آب‌بازی	59564	N
آب‌بند	87209	N
آب‌بندی	148302	N
آب‌بها	30689	N
آب‌تنی	157104	N
آب‌جو	45100009	N
آب‌جوفروش	107	N
آب‌جوفروشی	1280	N
آب‌خوری	4	N
آب‌داده	3332	N,AJ
آب‌درمانی	69405	N
آب‌دزدک	2260	N
آب‌دیده	156007	N,AJ
آب‌رسان	40714	N,AJ
آب‌رسانی	2360197	N
آب‌رفته	0	N
آب‌روغن	0	N
آب‌زدایی	0	N
آب‌زده	0	N
آب‌زن	0	N
آب‌زیرکاه	1310	N
آب‌زیپو	0	N
آب‌سردکن	3	N
آب‌شده	0	N
آب‌شناسی	35906	N
آب‌شنگولی	1630	N
آب‌شیرین‌کن	6024105	N
آب‌طلا	0	N
آب‌غوره	35401	N
آب‌لمبو	3	N
آب‌لنبو	0	N
آب‌لیمو	118726	N
آب‌لیموخوری	3660	N
آب‌لیموگیری	731	N
آب‌مروارید	95752	N
آب‌میوه	345043	N
آب‌میوه‌فروش	325	N
آب‌میوه‌فروشی	0	N
آب‌میوه‌گیری	881002	N
آب‌نبات	108713	N,AJ
آب‌نما	9	N,AJ
آب‌نمک	4	N
آب‌وتاب	1622	N
آب‌پاش	9	N,AJ
آب‌پاشی	61908	N
آب‌پز	131706	N,AJ
آب‌چکان	19364	N,ADV
آب‌ژاول	4540	N
آب‌کردن	1130	N
آب‌کردنی	0	N
آب‌کشی	89487	N
آب‌کشیده	0	N
آب‌گرفته	0	N
آب‌گرفتگی	63556	N
آب‌گرم‌کن	2060014	N
آب‌گوشت	165013	N
آب‌گیری	71338	N
آتاتورک	2	N
آتاری	0	N
آتش	2681119	N,AJ
آتشبار	71815	N
آتشخانه	126401	N
آتشدان	11310	N
آتشزنه	16	N
آتشکده	71900	N
آتشگاه	27211	N
آتشین	200051	N,AJ
آتشین‌مزاج	2	AJ
آتش‌افروز	28608	N
آتش‌افروزی	19710	N
آتش‌بار	71815	N
آتش‌باران	0	N
آتش‌بازی	77946	N
آتش‌بس	153397	N
آتش‌بیار	37924	N
آتش‌خانه	3	N
آتش‌زا	51917	N,AJ
آتش‌سوزی	472364	N
آتش‌فشان	226085	N
آتش‌فشانی	68365	N,AJ
آتش‌نشان	81945	N,AJ
آتش‌نشانی	654197	N
آتش‌پاره	0	N
آتش‌پرست	43504	N,AJ
آتش‌پرستی	0	N
آتش‌گردان	0	N
آتش‌گرفته	0	N,AJ
آتش‌گیر	10772	N,AJ
آتل	19	N
آتلانتا	28	N
آتلانتیس	22	N
آتلانتیک	170	N
آتلیه	16	N
آتل‌بندی	13300	N
آتل‌پیچ	0	AJ
آتن	180157	N,AJ
آتنا	84702	N
آتنه	246003	N
آتوسا	16	N
آتی	661420	N,AJ,RES
آتیلا	78614	N
آتیه	186024	N,AJ
آتیه‌دار	3	N,AJ
آتی‌ساز	2	N
آت‌آشغال	0	N
آثار	3173836	N,RES,PL
آثارالباقیه	4	N
آثاری	0	N
آج	317003	N
آجان	0	N
آجر	524102	N,AJ
آجرنما	0	N
آجرپاره	0	N
آجرپز	1960	N
آجرپزی	6933	N
آجرچینی	7465	N
آجرکاری	17007	N
آجل	80802	N
آجودان	25414	N,AJ
آجودانیه	9	N
آجی	6940000	N
آجیده	0	N
آجیل	123030	N
آجیل‌خوری	0	N
آجیل‌فروش	3	N
آجیل‌فروشی	1021	N
آحاد	230344	N,PL
آخ	11	RES
آخته	0	N
آخته	204007	N,AJ
آخر	104201141	N,NUM,ADV,RES
آخرالامر	31403	CONJ,ADV
آخرالزمان	432016	N,AJ
آخرت	410172	N
آخرت‌گرا	4	N,AJ
آخرین	15202105	N,AJ,NUM,RES
آخور	20908	N
آخوند	238073	N,AJ
آخوندزاده	12	N
آخ‌واوخ	214	N
آداب	1210274	N,AJ,RES,PL
آداب‌الصلوه	3	N
آداب‌دان	2	N
آدام	12	N
آدامز	24	N
آدامس	221022	N
آدامس‌فروش	0	AJ
آدامس‌فروشی	0	N
آدرس‌دهی	4	N
آدرس‌نویسی	0	N
آدرنال	9	N
آدرنالین	13	N
آدریان	8	N
آدلاید	10	N
آدلر	0	N
آدلف	72602	N
آدم	8531558	N,AJ,RES
آدمک	98116	N
آدمکش	60311	N,AJ
آدمیت	42315	N
آدمیزاد	145012	N
آدم‌آهنی	0	N,AJ
آدم‌برفی	99202	N
آدم‌خوار	210007	N,AJ
