بود#باش باش 1
توانست#توان تون 0
خواست#خواه خوا 1
خواند#خوان خون 0
داد#ده د 0
داشت#دار دار 1
دانست#دان دون 0
رفت#رو ر 0
شد#شو ش 0
کرد#کن کن 1
گذاشت#گذار ذار 0
گزارد#گزار زار 0
گفت#گوی گ 0
خرید#خر خر 0
کشید#کش کش 0
ماند#مان مون 0
جوید#جو جو 0
پرسید#پرس پرس 0
نشاند#نشان نشون 0
آورد#اور ار 0
خواست#خواه خاه 1
خواست#خواه خا 1
گذراند#گذران گذرون 0
رساند#رسان رسون 0
فهماند#فهمان فهمون 0
آمد#آی آ 0
ترکاند#ترکان ترکون 0
خوابید#خواب خاب 0
شکاند#شکان شکون 0
ترساند#ترسان ترسون 0
خشکاند#خشکان خشکون 0
خوراند#خوران خورون 0
دواند#دوان دوون 0
رقصاند#رقصان رقصون 0
لرزاند#لرزان لرزون 0
لغزاند#لغزان لغزون 0
نوشاند#نوشان نوشون 0
پزاند#پزان پزون 0
پوشاند#پوشان پوشون 0
پیچاند#پیچان پیچون 0
چشاند#چشان چشون 0
کشاند#کشان کشون 0
گرداند#گردان گردون 0
مالاند#مالان مالون 0
ستاند#ستان ستون 0
پاشاند#پاشان پاشون 0
پروراند#پروران پرورون 0
چرخاند#چرخان چرخون 0
چسباند#چسبان چسبون 0
کوباند#کوبان کوبون 0
گریاند#گریان گریون 0
باوراند#باوران باورون 0
پذیراند#پذیران پذیرون 0
پوکاند#پوکان پوکون 0
پیونداند#پیوندان پیوندون 0
تاراند#تااران تارون 0
تکاند#تکان تکون 0
چزاند#چزان چزون 0
خنداند#خندان خندون 0
قبولاند#قبولان قبولون 0
گستراند#گستران گسترون 0
گسیلاند#گسیلان گسیلون 0
براند#بران برون 0
جوشاند#جوشان جوشون 0
خواباند#خوابان خوابون 0
دوزاند#دوزان دوزون 0
